cod producto,linea,rubro,descripcion,pcio_lista,unidad,imagen,,
101210,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N°10  90-110mm,349.18,(C/U),101200,,
101211,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº11  110-130mm,462.94,(C/U),101200,,
101212,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº12  120-140mm,462.94,(C/U),101200,,
101213,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº18  130-150mm,462.94,(C/U),101200,,
101214,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº19  140-160mm,514.04,(C/U),101200,,
101215,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº20  150-170mm,973.14,(C/U),101200,,
101216,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº21  160-180mm,1039.74,(C/U),101200,,
101217,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº22  170-190mm,1039.74,(C/U),101200,,
101218,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº23  180-200mm,1039.74,(C/U),101200,,
101219,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA Nº24  190-210mm,1039.74,(C/U),101200,,
101300,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 1/2',144.98,(C/U),101300,,
101301,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 3/4',145.08,(C/U),101300,,
101302,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 1',127.98,(C/U),101300,,
101303,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 1.1/4',166.04,(C/U),101300,,
101304,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 1.1/2',167.22,(C/U),101300,,
101305,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 2',202,(C/U),101300,,
101306,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 2.1/2',216.84,(C/U),101300,,
101307,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 3',243.34,(C/U),101300,,
101308,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 4',280.64,(C/U),101300,,
101309,SANITARIOS,ABRAZADERAS,ABRAZADERA DE TIPO 'U' 6',399.86,(C/U),101300,,
101400,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA PERFECTO B1 (8-10mm),153.3,(C/U),101400,,
101401,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA PERFECTO B2 (10-12mm),153.3,(C/U),101400,,
101402,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA PERFECTO B3 (12-14mm),155.8,(C/U),101400,,
101403,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA PERFECTO B4 (14-16mm),155.8,(C/U),101400,,
101404,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA PERFECTO B5 (15-18mm),155.8,(C/U),101400,,
101500,SANITARIOS,ABRAZADERAS,ABRAZADERA EUROPEA A (8.5-10mm),331251,(C/U),101500,,
101501,SANITARIOS,ABRAZADERAS,ABRAZADERA EUROPEA B (9.5-11.5mm),348255,(C/U),101500,,
101502,SANITARIOS,ABRAZADERAS,ABRAZADERA EUROPEA C (11-14mm),380301,(C/U),101500,,
101503,SANITARIOS,ABRAZADERAS,ABRAZADERA EUROPEA D (13-17mm),3.28,(C/U),101500,,
101504,SANITARIOS,ABRAZADERAS,ABRAZADERA EUROPEA MANGUERA GAS 12-17mm,134.2,(C/U),101504,,
102100,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA LOZA CHICA COMPACTO (ABE1E),2536.08,(C/U),102100,,
102101,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA LOZA GRANDE COMPACTO (ABE2E),3133.72,(C/U),102101,,
102102,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA LOZA DOBLE COMPACTO (APE4E),1561.88,(C/U),102102,,
102103,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA LOZA SIMPLE COMPACTO (APE3E),1442.48,(C/U),102103,,
102104,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA ROLLO BAÑO LOZA COMPACTO (ALE1E),3924.76,(C/U),102104,,
102105,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA VASO LOZA COMPACTO (AVE2E),2694.24,(C/U),102105,,
102106,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO LOZA INTEGRAL COMPACTO (ATE8E),3450.82,(C/U),102106,,
102111,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 7 PIEZAS LOZA COMPACTO (AJE7E),24383.74,(C/U),102111,,
102120,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 5 PIEZAS LOZA TRAFUL (AJD5E),16197.98,(C/U),102120,,
102130,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 5 PIEZAS LOZA BLANCO 'PRINGLES',9704.64,(C/U),102130,,
102131,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 8 PIEZAS LOZA BLANCO 'PRINGLES',13224.7,(C/U),102131,,
102310,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO PLASTICO CORTO,964.96,(C/U),102310,,
102311,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO PLASTICO LARGO,1051.18,(C/U),102310,,
102320,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO PLASTICO EXTENSIBLE,692.7,(C/U),102320,,
102321,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO PLASTICO EXTENSIBLE BEIGE,1660166,(C/U),102320,,
102330,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA PLASTICA BLANCA,828.12,(C/U),102330,,
102340,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA CEPILLO Y VASO PLASTICO,828.12,(C/U),102340,,
102350,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA DENTIFRICO PLASTICO BLANCO MULTIUSO,1028.2,(C/U),102350,,
102360,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHERO SIMPLE PLASTICO,390.9,(C/U),102360,,
102370,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHERO DOBLE PLASTICO,1332902,(C/U),102370,,
102380,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHERO TRIPLE PLASTICO,836.26,(C/U),102380,,
102390,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO ARO CHICO PLASTICO,913.94,(C/U),102390,,
102400,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA ROLLO BAÑO PLASTICO SOPLADO,184.68,(C/U),102400,,
102420,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA ROLLO BAÑO PLASTICO INYECTADO,715343,(C/U),102420,,
102430,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA ROLLO COCINA PLASTICO,681.28,(C/U),102430,,
102440,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA ROLLO BAÑO PLASTICO EXTERIOR,913.94,(C/U),102440,,
102450,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 7 PIEZAS PLASTICO,4858.24,(C/U),102450,,
102510,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHITAS CUELGATAZA BLANCA x 6 u.,336.8,BLISTER,102510,,
102520,SANITARIOS,ACCESORIOS PARA BAÑO,MINI PERCHA BLANCA x 6 u.,304.62,BLISTER,102520,,
102530,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA CUADRADA COLORES SURTIDOS x 16 u.,2026.64,BLISTER,102530,,
102531,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA CUADRADA BLANCA x 16 u.,2328.56,BLISTER,102530,,
102532,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA CUADRADA DECORADA x 16 u.,2418.7,BLISTER,102530,,
102540,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA OVAL BLANCA x 16 u.,2151.14,BLISTER,102540,,
102550,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE ADHESIVO RECTANGULAR BLANCO x 12 u.,1225.48,BLISTER,102550,,
102551,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE ADHESIVO RECTANGULAR BEIGE x 12 u.,1225.48,BLISTER,102550,,
102552,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE ADHESIVO RECTANGULAR MADERA x 12 u.,1405.82,BLISTER,102550,,
102560,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE ADHESIVO REDONDO BLANCO x 12 u.,1136.56,BLISTER,102560,,
102561,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE ADHESIVO REDONDO BEIGE x 12 u.,1136.66,BLISTER,102560,,
102562,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE ADHESIVO REDONDO MADERA x 12 u.,1326.86,BLISTER,102560,,
102570,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA AUTOADHESIVA CON 1 PITON  (2 u.),366.32,BLISTER,102570,,
102580,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA AUTOADHESIVA CON 2 PITONES,333.72,(C/U),102580,,
102590,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA AUTOADHESIVA CON 3 PITONES,409.28,(C/U),102590,,
102600,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA AUTOADHESIVA SOPAPA C/PITON 24 u.,1600.3,BOLSA,102600,,
102610,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE FIELTRO RECTANGULAR 3 x 2.5 cm x 9 u.,252.98,BLISTER,102610,,
102620,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE FIELTRO REDONDO 2.5 cm x 12 u.,289.32,BLISTER,102620,,
102630,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE FIELTRO RECTANGULAR 11 X 9 cm,280.14,BLISTER,102630,,
102631,SANITARIOS,ACCESORIOS PARA BAÑO,TOPE FIELTRO RECTANGULAR  50 x 9 cm,949.02,(C/U),102630,,
102640,SANITARIOS,ACCESORIOS PARA BAÑO,ZOCALO AUTOADHESIVO BLANCO,340.92,(C/U),102642,,
102641,SANITARIOS,ACCESORIOS PARA BAÑO,ZOCALO AUTOADHESIVO GRIS,340.92,(C/U),102642,,
102642,SANITARIOS,ACCESORIOS PARA BAÑO,ZOCALO AUTOADHESIVO MARRON,340.92,(C/U),102642,,
102710,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 5 PIEZAS BRONCE CROMO,7527.54,(C/U),102720,,
102715,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 6 PIEZAS BRONCE CROMO,8788.72,(C/U),102730,,
102720,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 7 PIEZAS BRONCE CROMO,17869.9,(C/U),102720,,
102740,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 6 PIEZAS BRONCE CROMO IMPORTADO,13622.34,(C/U),102740,,
102750,SANITARIOS,ACCESORIOS PARA BAÑO,JUEGO 7 PIEZAS BRONCE CROMO IMPORTADO,9519.74,(C/U),102750,,
102760,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO ARO BRONCE CROMO-CROMO,3615.2,(C/U),102760,,
102770,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO BRONCE CROMO-CROMO,4661.74,(C/U),102770,,
102772,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO DOBLE BRONCE CROMO,11310.96,(C/U),102772,,
102773,SANITARIOS,ACCESORIOS PARA BAÑO,TOALLERO TRIPLE BRONCE CROMO,20840.34,(C/U),102773,,
102780,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA BRONCE CROMO-CROMO,3708.04,(C/U),102780,,
102790,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA BRONCE CROMO Y VIDRIO,5604,(C/U),102790,,
102800,SANITARIOS,ACCESORIOS PARA BAÑO,PERCHA BRONCE CROMO-CROMO,2168.28,(C/U),102800,,
102810,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA ROLLO BAÑO BRONCE CROMO-CROMO,2451.08,(C/U),102810,,
102820,SANITARIOS,ACCESORIOS PARA BAÑO,PORTA VASO BRONCE CROMO-CROMO,3044.38,(C/U),102820,,
102830,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 25 cm BLANCO,1755.08,(C/U),102830,,
102831,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 35 cm BLANCO,1824.36,(C/U),102830,,
102832,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 45 cm BLANCO,1916.74,(C/U),102830,,
102833,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 55 cm BLANCO,1986.02,(C/U),102830,,
102834,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 85 cm BLANCO,2586.44,(C/U),102830,,
102835,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 100 cm BLANCO,5591.38,(C/U),102830,,
102836,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 45 CM BLANCO CURVO,4251.7,(C/U),102836,,
102839,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 25 Ctm CROMO,2262113,(C/U),,,
102840,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 35 Ctm CROMO,2331102,(C/U),102840,,
102841,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 45 Ctm CROMO,2425508,(C/U),102840,,
102842,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 55 Ctm CROMO,2494497,(C/U),,,
102843,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 85 Ctm CROMO,3050.04,(C/U),,,
102845,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD 135 cm CURVO CROMO,10169.46,(C/U),102850,,
102860,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD REBATIBLE BLANCO 40,64916129,(C/U),102860,,
102861,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD REBATIBLE BLANCO 60,8082.6,(C/U),,,
102862,SANITARIOS,ACCESORIOS PARA BAÑO,BARRAL SEGURIDAD REBATIBLE BLANCO 80,4156.77,(C/U),,,
102910,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA ENREJADA CHICA,4319.28,(C/U),102910,,
102912,SANITARIOS,ACCESORIOS PARA BAÑO,JABONERA ENREJADA GRANDE,3960.48,(C/U),102910,,
102930,SANITARIOS,ACCESORIOS PARA BAÑO,ESQUINERO ENREJADO CHICO,15835.94,(C/U),102930,,
103100,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1/2' SIMIL DUKE PROFESIONAL,311.76,(C/U),103300,,
103101,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 3/4' SIMIL DUKE PROFESIONAL,376.34,(C/U),103300,,
103102,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  1',786.7,(C/U),103300,,
103200,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1/2' SUPER,1006.94,(C/U),103200,,
103201,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 3/4' SUPER,1463.98,(C/U),103200,,
103202,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  1' SUPER,1947.66,(C/U),103200,,
103203,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1.1/4' SUPER,2434.62,(C/U),103200,,
103204,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1.1/2' SUPER,3161.94,(C/U),103200,,
103205,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  2' SUPER,4370.56,(C/U),103200,,
103206,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  2.1/2' SUPER,9548.18,(C/U),103200,,
103207,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  3' SUPER,12599.7,(C/U),103200,,
103208,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  4' SUPER,16873.8,(C/U),103200,,
103209,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  6' SUPER,39637.22,(C/U),103200,,
103210,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  8' SUPER,117619.72,(C/U),103200,,
103300,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1/2' (DUKE) PROFESIONAL,564.48,(C/U),103300,,
103301,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 3/4' (DUKE) PROFESIONAL,697.82,(C/U),103300,,
103302,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  1' (DUKE) STANDARD,964.34,(C/U),103300,,
103303,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1.1/4' (DUKE)   STANDARD,2412.42,(C/U),103300,,
103304,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE 1.1/2' (DUKE)  STANDARD,2995.72,(C/U),103300,,
103305,SANITARIOS,ACOPLES DE COMPRESION,ACOPLE RAPIDO DE  2' (DUKE)  STANDARD,3700.96,(C/U),103300,,
104100,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO FIJO 500 mm ( 50/60 Lts ),4279.24,(C/U),104100,,
104101,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO FIJO 650 mm ( 75 Lts. ),5496.68,(C/U),104100,,
104102,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO FIJO 750 mm ( 85 Lts.),6064.18,(C/U),104100,,
104103,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO FIJO 1000 mm (110/120 Lts.),7926.28,(C/U),104100,,
104105,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO FIJO 1350 mm ( 130/150 Lts.),10283.46,(C/U),104100,,
104106,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAG. RESI.BRA-METAL 25Ctm. R/ MACH. 6x1,4259.52,(C/U),,,
104107,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAG. RESIS.PHILCO/RAMSER 25Ctm. R/M 6x1,4259.52,(C/U),104107,,
104108,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAG. RESIS.SEÑORIAL 25Cmt. R/MACH. 5x0.8,4259.52,(C/U),104108,,
104109,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAG. RESIS.LONGVIE 45Ctm. R/MACH. 6x1,6389.3,(C/U),104108,,
104200,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO ARTICUL. 410mm. 2 Ele 50/60 Lts,3302.64,(C/U),104200,,
104201,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO ARTICUL. 650mm. 3 Ele.75/80Lts,5105.16,(C/U),104200,,
104202,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO ARTICUL. 950mm. 4 Ele. 110/120 Lts,7287.46,(C/U),104200,,
104203,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,ANODO MAGNESIO ARTICUL. 120mm. 5 Ele 150 Lts,9119.1,(C/U),104200,,
104300,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,TUBO BAJADA PARA TERMOTANQUE 350 mm 50 lts,251,(C/U),104300,,
104301,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,TUBO BAJADA PARA TERMOTANQUE 570 mm 60/75 lts,271.52,(C/U),104300,,
104302,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,TUBO BAJADA PARA TERMOTANQUE 890 mm 85/110 lts,323.4,(C/U),104300,,
104303,SANITARIOS,ANODOSY BAJADA P/ TERMOTANQUE,TUBO BAJADA PARA TERMOTANQUE 1300 mm 120/150 lts,367.3,(C/U),104300,,
106100,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - FINO / M - FINO,782.66,(C/U),106100,,
106101,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - FINO / M - GRUESO,782.66,(C/U),106100,,
106102,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - FINO / M - CUADRADO,782.66,(C/U),106100,,
106103,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - GRUESO / M - FINO,782.66,(C/U),106100,,
106104,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - GRUESO / M - GRUESO,782.66,(C/U),106100,,
106105,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - GRUESO / M -CUADRADO,782.66,(C/U),106100,,
106106,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - CUADRADO / M - FINO,782.66,(C/U),106100,,
106107,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - CUADRADO / M -GRUESO,782.66,(C/U),106100,,
106108,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO CORTO H - CUADRADO / M - CUADRADO,782.66,(C/U),106100,,
106200,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - FINO / M - FINO,826.48,(C/U),106200,,
106201,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - FINO / M - GRUESO,826.48,(C/U),106200,,
106202,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - FINO / M - CUADRADO,826.48,(C/U),106200,,
106203,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - GRUESO / M - FINO,826.48,(C/U),106200,,
106204,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - GRUESO / M - GRUESO,826.48,(C/U),106200,,
106205,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - GRUESO / M - CUADRADO,826.48,(C/U),106200,,
106206,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - CUADRADO / M - FINO,826.48,(C/U),106200,,
106207,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H - CUADRADO / M - GRUESO,826.48,(C/U),106200,,
106208,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO MEDIANO H-CUADRADO / M-CUADRADO,826.48,(C/U),106200,,
106300,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO LARGO H - FINO / M - FINO,867.46,(C/U),106300,,
106301,SANITARIOS,ALARGUE PARA VASTAGOS,ALARGUE VASTAGO LARGO H - FINO / M - GRUESO,867.46,(C/U),106300,,
